Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,FBI Code,X Coordinate,Community Area,Y Coordinate,Year,Latitude,Updated On,Longitude,Location
HV527373,8853818,10/20/2012 19:33,052XX N LINCOLN AVE,560,ASSAULT,SIMPLE,GROCERY FOOD STORE,FALSE,FALSE,2011,20,40,08A,1158574,4,1934693,2012,41.97653893,10/25/2012 0:41,-87.69223163,"(41.97653892584681, -87.69223162761689)"
HV527357,8853732,10/20/2012 19:30,038XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1122,11,27,11,1150971,26,1901396,2012,41.88532189,10/25/2012 0:41,-87.72106559,"(41.885321889554525, -87.72106558999356)"
HV527988,8854394,10/20/2012 19:30,072XX S LAWNDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,833,8,13,14,1152910,65,1856504,2012,41.76209411,10/23/2012 0:45,-87.71513134,"(41.76209410963325, -87.7151313443913)"
HV527416,8853875,10/20/2012 19:30,069XX S CRANDON AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,331,3,5,6,1192477,43,1859588,2012,41.76968502,10/23/2012 0:45,-87.57001441,"(41.76968502129514, -87.5700144058721)"
HV527380,8853799,10/20/2012 19:30,063XX S HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,723,7,20,14,1172012,68,1863016,2012,41.77956577,10/23/2012 0:45,-87.64492895,"(41.77956577402664, -87.64492895412621)"
HV527385,8853831,10/20/2012 19:30,0000X E ROOSEVELT RD,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,CTA PLATFORM,TRUE,FALSE,123,1,2,15,1176812,32,1895113,2012,41.86753584,10/23/2012 0:45,-87.62636341,"(41.86753584126747, -87.6263634125463)"
HV527680,8854076,10/20/2012 19:30,006XX W 65TH ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,723,7,20,08B,1172857,68,1861737,2012,41.77603745,10/26/2012 0:39,-87.64186879,"(41.77603744662987, -87.64186879425185)"
HV527434,8853870,10/20/2012 19:25,039XX W ROOSEVELT RD,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),GAS STATION,TRUE,FALSE,1132,11,24,18,1150011,29,1894452,2012,41.86628551,10/24/2012 0:39,-87.72477171,"(41.8662855120245, -87.72477171042196)"
HV527422,8853888,10/20/2012 19:25,044XX W MONROE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1113,11,28,18,1146709,26,1899251,2012,41.87951814,10/24/2012 0:39,-87.73677132,"(41.879518138776284, -87.73677132353579)"
HV527365,8853778,10/20/2012 19:25,012XX E 46TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,222,2,4,26,1185133,39,1874524,2012,41.81084633,10/24/2012 0:39,-87.59646463,"(41.8108463259713, -87.59646462591088)"
HV527356,8853855,10/20/2012 19:25,062XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,TRUE,713,7,16,08B,1166788,67,1863005,2012,41.77964875,10/23/2012 0:45,-87.66408109,"(41.77964875380842, -87.66408109101666)"
HV527375,8853850,10/20/2012 19:24,034XX N BROADWAY,810,THEFT,OVER $500,SIDEWALK,FALSE,FALSE,1925,19,44,6,1171409,6,1923120,2012,41.94450899,10/24/2012 0:39,-87.64537392,"(41.9445089897486, -87.6453739200444)"
